I e{{c1::stimate}} it will take about 2 months in total	"<font color=""#0000ff"">見積もる</font>と、だいたいトータルで2ヶ月かかります。"	estimate	ˈɛstəmət	見積もる	Verb	[sound:engineer-vocabulary-list_113.mp3]	
This information is l{{c1::inked}} to customer ID.	"この情報は、お客様IDに<font color=""#0000ff"">紐づい</font>ています"	link	lɪŋk	紐づく           	Verb	[sound:engineer-vocabulary-list_114.mp3]	
It's l{{c1::ike}} this.	"こんな<font color=""#0000ff"">感じ</font>です。"	like [something]	laɪk [ˈsʌmθɪŋ]	感じ	Adverb	[sound:engineer-vocabulary-list_115.mp3]	
Is there anything else you want to talk about b{{c1::esides}} the topics written here?	"ここに書いてあるトピック<font color=""#0000ff"">以外</font>に何か話したいことありますか。"	besides	bɪˈsaɪdz	以外	Adverb	[sound:engineer-vocabulary-list_116.mp3]	except
There's a limit to the number of projects we can handle a{{c1::t}} the {{c1::same}} {{c1::time}}.	"<font color=""#0000ff"">同時に</font>担当できるプロジェクトの数には限界があります"	at the same time	æt ðə seɪm taɪm	同時に	Adverb	[sound:engineer-vocabulary-list_117.mp3]	simultaneously 
If we don't solve this problem, i{{c1::n}} the {{c1::end}} it'll happen just before the release. 	"これを解決しておかないと、<font color=""#0000ff"">結局</font>、リリース直前に問題が出てくる。"	in the end	ɪn ði ɛnd	結局	Adverb	[sound:engineer-vocabulary-list_118.mp3]	after all
I've m{{c1::ostly}} finished this ticket.	"このチケットは<font color=""#0000ff"">ほぼ</font>終わりました"	mostly	ˈmoʊstli	ほぼ 	Adverb	[sound:engineer-vocabulary-list_119.mp3]	
What was the point of this meeting i{{c1::n}} the {{c1::first}} {{c1::place}}?	"<font color=""#0000ff"">そもそも</font>、このミーティングの目的はなんでしたっけ？"	in the first place 	ɪn ðə fɜrst pleɪs 	そもそも	Adverb	[sound:engineer-vocabulary-list_120.mp3]	
Let's all share our opinions o{{c1::ne}} {{c1::after}} the {{c1::other}}. 	"<font color=""#0000ff"">どんどん</font>意見を言ってくださいね"	one after the other	wʌn ˈæftər ði ˈʌðər	どんどん	Adverb	[sound:engineer-vocabulary-list_121.mp3]	
OK, the QA s{{c1::ide}} will deal with this.	"これはQA<font color=""#0000ff"">側</font>で対応します"	side 	saɪd 	〜側	Noun	[sound:engineer-vocabulary-list_122.mp3]	
